"subject" "activ" "mean_of_measurements"
1 1 -0.319105810200331
2 1 -0.385708093716054
3 1 -0.386865862874514
4 1 -0.43055661483918
5 1 -0.378535121986988
6 1 -0.337513362522582
7 1 -0.306764482858546
8 1 -0.299755499867352
9 1 -0.37164660578822
10 1 -0.327086776127028
11 1 -0.431366510871248
12 1 -0.355560155447154
13 1 -0.316988827925179
14 1 -0.385501824502105
15 1 -0.390526282476396
16 1 -0.431362808379042
17 1 -0.387039462708526
18 1 -0.436306077297177
19 1 -0.238252786596887
20 1 -0.259518117088663
21 1 -0.330648706245588
22 1 -0.274200987116311
23 1 -0.265296718829829
24 1 -0.416975175176002
25 1 -0.460842122215599
26 1 -0.392008755561813
27 1 -0.377771272094104
28 1 -0.393787255237739
29 1 -0.352894943404783
30 1 -0.373607524126774
1 2 -0.40699661814598
2 2 -0.363983305102955
3 2 -0.424274671811149
4 2 -0.415260374462441
5 2 -0.356353464901252
6 2 -0.330642340129316
7 2 -0.427408293255387
8 2 -0.293377815632218
9 2 -0.427075431896002
10 2 -0.345652600356602
11 2 -0.43527506672087
12 2 -0.42179157558609
13 2 -0.411582073864772
14 2 -0.285486358859423
15 2 -0.393720911542089
16 2 -0.440146451770759
17 2 -0.401431355861112
18 2 -0.470681472754459
19 2 -0.316821118319495
20 2 -0.338291941451443
21 2 -0.381967006088137
22 2 -0.305185521541175
23 2 -0.369581312588007
24 2 -0.43583828688532
25 2 -0.48551223324769
26 2 -0.41167278243368
27 2 -0.426267052017458
28 2 -0.401092965937606
29 2 -0.364429747315138
30 2 -0.439370730188029
1 3 -0.297226292824001
2 3 -0.259677293061387
3 3 -0.350536138554404
4 3 -0.363790441016887
5 3 -0.296901580091929
6 3 -0.198922424840441
7 3 -0.317129508211319
8 3 -0.19351985419359
9 3 -0.313140747277053
10 3 -0.263162073365728
11 3 -0.348717448293558
12 3 -0.311490436338625
13 3 -0.317234723087439
14 3 -0.203378373864087
15 3 -0.280227328116279
16 3 -0.339080301791712
17 3 -0.365194496888334
18 3 -0.438663811185222
19 3 -0.078306398113335
20 3 -0.247169665420288
21 3 -0.291301975673511
22 3 -0.287664837258693
23 3 -0.20246554081645
24 3 -0.359085991984149
25 3 -0.429924410531157
26 3 -0.322473123490661
27 3 -0.312446129792811
28 3 -0.291650876955502
29 3 -0.31726279115201
30 3 -0.358790607945901
1 4 -0.633405230612481
2 4 -0.640597914078914
3 4 -0.622780836987975
4 4 -0.627074988752137
5 4 -0.627014833570021
6 4 -0.625412957710496
7 4 -0.628833138374792
8 4 -0.637726458982249
9 4 -0.627530823653232
10 4 -0.640078551091241
11 4 -0.636081608692102
12 4 -0.636301750626951
13 4 -0.638179130162868
14 4 -0.639930771868791
15 4 -0.641496217339585
16 4 -0.642254023210701
17 4 -0.643707360983648
18 4 -0.650240242162375
19 4 -0.638986666530727
20 4 -0.639872725383092
21 4 -0.644724493205524
22 4 -0.634015600138589
23 4 -0.632843540612456
24 4 -0.646619496620551
25 4 -0.645307467575153
26 4 -0.642718508921569
27 4 -0.647329814034974
28 4 -0.637322526513564
29 4 -0.644100724926612
30 4 -0.646017901904583
1 5 -0.647424789141436
2 5 -0.636454993012462
3 5 -0.626824657789309
4 5 -0.618583772157932
5 5 -0.618821537531601
6 5 -0.629253160586122
7 5 -0.63369010626409
8 5 -0.639463722621354
9 5 -0.633713631013694
10 5 -0.630886542166037
11 5 -0.648374467923916
12 5 -0.627684013763497
13 5 -0.639297749080434
14 5 -0.633771114374627
15 5 -0.640037091389994
16 5 -0.646538416475197
17 5 -0.644675070329398
18 5 -0.645518459042212
19 5 -0.640136697217531
20 5 -0.620027732157146
21 5 -0.638450214241584
22 5 -0.635992094486953
23 5 -0.637024168810267
24 5 -0.634194893841734
25 5 -0.645297950751058
26 5 -0.644004547265191
27 5 -0.644356212162637
28 5 -0.627883524309929
29 5 -0.650245278868483
30 5 -0.630635453342216
1 6 -0.607522391836014
2 6 -0.639973837827844
3 6 -0.641445804875381
4 6 -0.630875080725603
5 6 -0.631793505517319
6 6 -0.619421431071453
7 6 -0.628303269447471
8 6 -0.627089533537997
9 6 -0.628414047268328
10 6 -0.633606314208568
11 6 -0.643553031373099
12 6 -0.63012919397725
13 6 -0.624337936876007
14 6 -0.628355645282404
15 6 -0.639883147448173
16 6 -0.635906117499551
17 6 -0.629876420657766
18 6 -0.645039855011435
19 6 -0.632999218754884
20 6 -0.644397438696908
21 6 -0.63110876443376
22 6 -0.632109081483277
23 6 -0.628089473591726
24 6 -0.634203387560794
25 6 -0.589506698496036
26 6 -0.640679888089531
27 6 -0.645993647892745
28 6 -0.640518710327799
29 6 -0.646324698842316
30 6 -0.642625296795821
